Project,Client,Description,Duration
SOS2122-26,,#1 Relleno de la plantilla de datos,02:06:00
SOS2122-26,,#11 parte opcional f04,02:11:05
SOS2122-26,,#3 index.html,01:58:15
SOS2122-26,,#4 Heroku,00:58:37
SOS2122-26,,#9 google docs,01:11:15
SOS2122-26,,"Completadas Integraciones 3, 4 y 5",04:00:00
SOS2122-26,,Creación milestone F02 (Issue Pablo),00:02:03
SOS2122-26,,Example API #01,03:12:00
SOS2122-26,,F03,04:02:00
SOS2122-26,,F06,03:00:00
SOS2122-26,,Feedback opcional,03:13:29
SOS2122-26,,First Steps,02:00:00
SOS2122-26,,front-end Pablo,07:00:00
SOS2122-26,,front-end v2 Pablo,03:00:00
SOS2122-26,,GitHub Config,03:00:00
SOS2122-26,,Google Doc,01:33:32
SOS2122-26,,Google Doc 2,00:35:22
SOS2122-26,,Realización Integración 1 y 2,04:00:00
SOS2122-26,,Video y Efforts,01:00:00
SOS2122-26,,Widget line,06:23:00
SOS2122-26,,,45:36:00
,,Extra,00:03:37
,,,06:23:00
